1/04/2020,Inservice
1/18/2020,MLK Day
2/15/2020,President's Day
2/16/2020,Inservice
3/22/2020,Spring Break
3/23/2020,Spring Break
3/24/2020,Spring Break
3/25/2020,Spring Break
3/26/2020,Spring Break

